City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Sisophon,KH,13.5859,102.9737,77.38,87,100,5.7,overcast clouds
273,Taitung,TW,22.7583,121.1444,78.22,88,100,0.85,overcast clouds
274,Tatvan,TR,38.5067,42.2817,54.73,58,0,2.84,clear sky
275,Bongandanga,CD,1.5,21.05,75.7,78,100,2.53,overcast clouds
276,Lavrentiya,RU,65.5833,-171.0,34.57,95,100,4.63,overcast clouds
277,Cherdyn,RU,60.403,56.4787,47.03,77,100,4.7,overcast clouds
278,Plouzane,FR,48.3833,-4.6167,59.05,72,0,11.5,clear sky
279,Abha,SA,18.2164,42.5053,70.05,53,20,4.61,light rain
280,Northam,GB,51.0333,-4.2167,59.4,73,74,9.8,broken clouds
281,Korla,CN,41.7597,86.1469,75.87,34,94,14.12,overcast clouds
282,Rantepao,ID,-2.9701,119.8978,65.71,93,100,3.02,overcast clouds
283,Labuhan,ID,-6.8844,112.2051,78.6,83,100,2.89,overcast clouds
284,Paita,PE,-5.0892,-81.1144,72.32,68,89,13.73,overcast clouds
285,Kendari,ID,-3.945,122.4989,73.9,93,100,2.28,light rain
286,Emerald,AU,-23.5333,148.1667,63.16,62,52,6.35,broken clouds
287,Touros,BR,-5.1989,-35.4608,78.01,89,100,14.25,overcast clouds
288,Geneva,US,41.8875,-88.3054,61.52,78,100,13.8,overcast clouds
289,Upernavik,GL,72.7868,-56.1549,26.76,79,100,13.09,overcast clouds
290,Chapadinha,BR,-3.7417,-43.3603,83.84,61,41,5.28,scattered clouds
291,Maharajganj,IN,27.1333,83.5667,85.59,42,0,6.71,clear sky
292,Grindavik,IS,63.8424,-22.4338,57.15,50,75,9.22,broken clouds
293,Roela,EE,59.1667,26.5926,46.78,97,98,4.81,light rain
294,Tiksi,RU,71.6872,128.8694,28.78,91,100,6.53,overcast clouds
295,Bowen,AU,-20.0167,148.2333,67.35,82,27,5.3,scattered clouds
296,Ahuimanu,US,21.4447,-157.8378,80.37,55,0,10.36,clear sky
297,Laguna,US,38.421,-121.4238,74.43,59,0,12.66,clear sky
298,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,76,100,6.29,overcast clouds
299,Yeppoon,AU,-23.1333,150.7333,58.78,86,3,3.47,clear sky
300,Mount Gambier,AU,-37.8333,140.7667,45.14,91,100,4.34,overcast clouds
301,Shache,CN,38.4167,77.2406,79.16,21,97,8.48,overcast clouds
302,Port Blair,IN,11.6667,92.75,82.44,83,75,9.22,mist
303,Russell,US,32.3502,-85.1999,85.28,51,75,9.22,broken clouds
304,Staunton,US,38.1496,-79.0717,74.66,56,100,8.05,overcast clouds
305,Soyo,AO,-6.1349,12.3689,74.35,82,0,6.71,clear sky
306,Ostrovnoy,RU,68.0531,39.5131,43.57,91,100,20.4,light rain
307,Gornopravdinsk,RU,60.05,69.9,52.7,94,100,8.79,overcast clouds
308,Antalaha,MG,-14.9003,50.2788,70.48,90,19,7.4,few clouds
309,Lorengau,PG,-2.0226,147.2712,79.03,70,93,0.67,overcast clouds
310,Nouadhibou,MR,20.931,-17.0347,71.58,78,6,21.85,clear sky
311,Filadelfia,US,39.9523,-75.1638,79.23,77,75,16.11,broken clouds
312,Alice Springs,AU,-23.7,133.8833,54.95,62,97,6.91,overcast clouds
313,Lasa,IT,46.6166,10.7002,72.48,80,21,6.55,few clouds
314,Nemuro,JP,43.3236,145.575,50.16,97,100,30.44,moderate rain
315,Provideniya,RU,64.3833,-173.3,39.54,84,75,7.25,broken clouds
316,Freeport,US,40.6576,-73.5832,82.38,76,100,16.11,overcast clouds
317,Cayenne,GF,4.9333,-52.3333,86.04,20,20,13.8,few clouds
318,Hamilton,US,39.1834,-84.5333,67.66,86,100,11.5,light rain
319,Dhidhdhoo,MV,6.8833,73.1,81.97,78,12,13.49,few clouds
320,Cherskiy,RU,68.75,161.3,31.01,65,99,13.78,overcast clouds
321,Kavieng,PG,-2.5744,150.7967,80.94,64,100,1.01,overcast clouds
322,Xiangfan,CN,32.0422,112.1448,69.42,71,100,2.37,overcast clouds
323,Stadtallendorf,DE,50.8333,9.0167,59.09,58,94,9.51,overcast clouds
324,Carauari,BR,-4.8828,-66.8958,90.23,48,38,5.12,scattered clouds
325,Praxedis Guerrero,MX,31.3667,-106.0167,94.46,7,0,8.03,clear sky
326,Fairbanks,US,64.8378,-147.7164,65.48,41,0,4.61,clear sky
327,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,74,4.61,broken clouds
328,Pangnirtung,CA,66.1451,-65.7125,28.4,74,100,13.8,light snow
329,Saint-Ambroise,CA,48.5501,-71.3324,54.57,93,100,11.5,overcast clouds
330,Verkhnevilyuysk,RU,63.4453,120.3167,34.18,73,4,7.16,clear sky
331,Umm Lajj,SA,25.0213,37.2685,84.31,45,0,4.54,clear sky
332,Beba,CU,22.4437,-79.7253,88.07,55,100,9.37,overcast clouds
333,Tasiilaq,GL,65.6145,-37.6368,35.76,67,100,4.0,overcast clouds
334,Surab,PK,28.4914,66.2585,74.89,15,0,9.71,clear sky
335,Rio Grande,BR,-32.035,-52.0986,71.71,92,100,8.08,overcast clouds
336,Yelanskiy,RU,56.8419,62.5014,47.93,75,15,7.14,few clouds
337,Mangrol,IN,21.1167,70.1167,82.53,78,72,17.4,broken clouds
338,Rosetta,EG,31.4044,30.4164,71.94,83,0,9.64,clear sky
339,Ourinhos,BR,-22.9789,-49.8706,78.24,41,100,5.37,overcast clouds
340,Sechura,PE,-5.5569,-80.8222,76.84,57,38,11.36,scattered clouds
341,Karratha,AU,-20.7377,116.8463,77.54,72,87,3.51,overcast clouds
342,Nova Olimpia,BR,-14.7972,-57.2881,92.86,25,100,3.8,overcast clouds
